Level,MenuLevel1,MenuLevel2,MenuLevel3,MenuLevel4,Menu ID,MenuName,Order Sequence,Type,Sub Type,SecCode,Level1Code,Level2Code,Level3Code
3,Executive Analysis,Trackers,Configurator Entry Tracker,,SVTK2060,Configurator Entry Tracker,76,I,T,SEC3931,SEC469,SEC484,SEC3931
3,Executive Analysis,Trackers,Configurator Rule Tracker,,SCTK2010,Configurator Rule Tracker,77,I,T,SEC3932,SEC469,SEC484,SEC3932
3,Executive Analysis,Trackers,Contact Tracker,,SVTK3031,Contact Tracker,80,I,T,SEC998,SEC469,SEC484,SEC998
3,Executive Analysis,Trackers,Customer Shipment Tracker,,SVGO1150,Customer Shipment Tracker,85,I,T,SEC507,SEC469,SEC484,SEC507
3,Executive Analysis,Trackers,Customer Tracker,,SVGO0010,Customer Tracker,90,I,T,SEC181,SEC469,SEC484,SEC181
3,Executive Analysis,Trackers,DMR Tracker,,SVTK2112,DMR Tracker,120,I,T,SEC1443,SEC469,SEC484,SEC1443
3,Executive Analysis,Trackers,Implementation Checklist Display,,SVTK1055,Implementation Checklist Display,160,I,T,SEC939,SEC469,SEC484,SEC939
3,Executive Analysis,Trackers,Job Tracker,,SVGO0012,Job Tracker,140,I,T,SEC193,SEC469,SEC484,SEC193
3,Executive Analysis,Trackers,Journal Tracker,,SVTK1060,Journal Tracker,150,I,T,SEC431,SEC469,SEC484,SEC431
3,Executive Analysis,Trackers,Lot Tracker,,JCGO3200,Lot Tracker,170,I,T,SEC509,SEC469,SEC484,SEC509
3,Executive Analysis,Trackers,Miscellaneous Shipment Tracker,,SRGO1031,Miscellaneous Shipment Tracker,180,I,T,SEC719,SEC469,SEC484,SEC719
3,Executive Analysis,Trackers,Opportunity / Quote Tracker,,SVGO0020,Opportunity / Quote Tracker,190,I,T,SEC226,SEC469,SEC484,SEC226
3,Executive Analysis,Trackers,Order Tracker,,SVGO0011,Order Tracker,200,I,T,SEC103,SEC469,SEC484,SEC103
3,Executive Analysis,Trackers,Part Advisor,,SVTK1072,Part Advisor,230,I,T,SEC703,SEC469,SEC484,SEC703
3,Executive Analysis,Trackers,Part FIFO Cost Tracker,,XAMN246,Part FIFO Cost Tracker,246,I,T,SEC981,SEC469,SEC484,SEC981
3,Executive Analysis,Trackers,Part Tracker,,SVGO0013,Part Tracker,210,I,T,SEC183,SEC469,SEC484,SEC183
3,Executive Analysis,Trackers,Part Where Used,,SVTK1078,Part Where Used,240,I,T,SEC705,SEC469,SEC484,SEC705
3,Executive Analysis,Trackers,Payment Tracker,,SVTK1022,Payment Tracker,250,I,T,SEC691,SEC469,SEC484,SEC691
3,Executive Analysis,Trackers,Payroll Employee Tracker,,SVTK1030,Payroll Employee Tracker,130,I,T,SEC276,SEC469,SEC484,SEC276
3,Executive Analysis,Trackers,Petty Cash Desk Tracker,,XAGO4021,Petty Cash Desk Tracker,245,I,T,SEC2353,SEC469,SEC484,SEC2353
3,Executive Analysis,Trackers,Project Tracker,,SVGO0030,Project Tracker,270,I,T,SEC351,SEC469,SEC484,SEC351
3,Executive Analysis,Trackers,Purchase Advisor,,SVTK1208,Purchase Advisor,280,I,T,SEC706,SEC469,SEC484,SEC706
3,Executive Analysis,Trackers,Purchase Order Tracker,,SVGO0014,Purchase Order Tracker,275,I,T,SEC080,SEC469,SEC484,SEC080
3,Executive Analysis,Trackers,Receipt Tracker,,SVRT1000,Receipt Tracker,285,I,T,SEC506,SEC469,SEC484,SEC506
3,Executive Analysis,Trackers,Requisition Tracker,,SVTK1080,Requisition Tracker,290,I,T,SEC443,SEC469,SEC484,SEC443
3,Executive Analysis,Trackers,RMA Tracker,,SVTK1100,RMA Tracker,300,I,T,SEC491,SEC469,SEC484,SEC491
3,Executive Analysis,Trackers,Serial Number Tracker,,SVGO1052,Serial Number Tracker,440,I,T,SEC405,SEC469,SEC484,SEC405
3,Executive Analysis,Trackers,Shop Tracker,,SVGO0015,Shop Tracker,450,I,T,SEC354,SEC469,SEC484,SEC354
3,Executive Analysis,Trackers,Subcontractor Shipment Tracker,,SVTK0132,Subcontractor Shipment Tracker,460,I,T,SEC720,SEC469,SEC484,SEC720
3,Executive Analysis,Trackers,Supplier Tracker,,SVTK1090,Supplier Tracker,480,I,T,SEC294,SEC469,SEC484,SEC294
3,Executive Analysis,Trackers,Time Phased Inquiry,,SVTK1074,Time Phased Inquiry,490,I,T,SEC711,SEC469,SEC484,SEC711
3,Executive Analysis,Trackers,Transfer Order Shipment Tracker,,XAMN7010,Transfer Order Shipment Tracker,500,I,T,SEC721,SEC469,SEC484,SEC721
3,Executive Analysis,Trackers,User Tracker,,XAMN3333,User Tracker,550,D,T,SEC484,SEC469,SEC484,SEC484
1,Financial Management,,,,XAMN4000,Financial Management,40,S,,SEC467,SEC467,SEC484,
2,Financial Management,Accounts Payable,,,APMN0000,Accounts Payable,20,S,,SEC001,SEC467,SEC001,SEC001
3,Financial Management,Accounts Payable,General Operations,,APMN3000,General Operations,30,S,,SEC231,SEC467,SEC001,SEC231
4,Financial Management,Accounts Payable,General Operations,1099 Adjustment Entry US,APGO3710,1099 Adjustment Entry US,5,I,E,SEC3021,SEC467,SEC001,SEC3021
4,Financial Management,Accounts Payable,General Operations,1099 Export US,APGO8887,1099 Export US,135,I,P,SECPR0104,SEC467,SEC001,SECPR0104
4,Financial Management,Accounts Payable,General Operations,1099 Form Entry US,APGO3700,1099 Form Entry US,6,I,E,SEC3030,SEC467,SEC001,SEC3030
4,Financial Management,Accounts Payable,General Operations,1099 Generation US,APGO8882,1099 Generation US,130,I,P,SECPR0109,SEC467,SEC001,SECPR0109
4,Financial Management,Accounts Payable,General Operations,1099 Report US,APGO8877,1099 Report US,125,I,R,SECPR0222,SEC467,SEC001,SECPR0222
4,Financial Management,Accounts Payable,General Operations,Adjustment,APGO1010,Adjustment,10,I,E,SEC236,SEC467,SEC001,SEC236
4,Financial Management,Accounts Payable,General Operations,AP Invoice Entry,APGO1030,AP Invoice Entry,50,I,E,SEC238,SEC467,SEC001,SEC238
4,Financial Management,Accounts Payable,General Operations,AP Invoice Tracker,APGO1070,AP Invoice Tracker,86,I,T,SEC293,SEC467,SEC001,SEC293
4,Financial Management,Accounts Payable,General Operations,AP Letter of Credit Closing Process,APGO3110,AP Letter of Credit Closing Process,155,I,P,SEC1460,SEC467,SEC001,SEC1460
4,Financial Management,Accounts Payable,General Operations,AP Letter of Credit Entry,APGO3090,AP Letter of Credit Entry,52,I,E,SEC2548,SEC467,SEC001,SEC2548
4,Financial Management,Accounts Payable,General Operations,AP Letter of Credit Tracker,APGO3100,AP Letter of Credit Tracker,88,I,T,SEC1290,SEC467,SEC001,SEC1290
4,Financial Management,Accounts Payable,General Operations,AP Payment Instrument,ARGO1100,AP Payment Instrument,68,I,E,SEC1150,SEC467,SEC001,SEC1150
4,Financial Management,Accounts Payable,General Operations,AP Payment Instrument Tracker,APGO3030,AP Payment Instrument Tracker,93,I,T,SEC1201,SEC467,SEC001,SEC1201
4,Financial Management,Accounts Payable,General Operations,AP Posted Invoice Update,APGO1090,AP Posted Invoice Update,74,I,E,SEC734,SEC467,SEC001,SEC734
4,Financial Management,Accounts Payable,General Operations,Apply Debit Memo / Prepayment,APGO1015,Apply Debit Memo / Prepayment,15,I,E,SEC2361,SEC467,SEC001,SEC2361
4,Financial Management,Accounts Payable,General Operations,Bank Account Tracker,APGO3120,Bank Account Tracker,83,I,T,SEC1295,SEC467,SEC001,SEC1295
4,Financial Management,Accounts Payable,General Operations,Bank Adjustment Entry,APGO1095,Bank Adjustment Entry,20,I,E,SEC490,SEC467,SEC001,SEC490
4,Financial Management,Accounts Payable,General Operations,Bank Funds Transfer,APGO1045,Bank Funds Transfer,30,I,E,SEC312,SEC467,SEC001,SEC312
4,Financial Management,Accounts Payable,General Operations,Bank Payment Confirmation Import,APGO1110,Bank Payment Confirmation Import,25,I,E,SEC1457,SEC467,SEC001,SEC1457
4,Financial Management,Accounts Payable,General Operations,Bank Statement Import,APGO3580,Bank Statement Import,140,I,P,SEC5172,SEC467,SEC001,SEC5172
4,Financial Management,Accounts Payable,General Operations,Bank Statement Processing,APGO1051,Bank Statement Processing,35,I,E,SEC1118,SEC467,SEC001,SEC1118
4,Financial Management,Accounts Payable,General Operations,Deferred Expense Recognition,APGO1200,Deferred Expense Recognition,145,I,P,SEC2310,SEC467,SEC001,SEC2310
4,Financial Management,Accounts Payable,General Operations,Generate Recurring AP Invoices,APGO3131,Generate Recurring AP Invoices,150,I,P,SEC230-001,SEC467,SEC001,SEC230-001
4,Financial Management,Accounts Payable,General Operations,Intrastat Details Tracker,APGO1120,Intrastat Details Tracker,85,I,T,SEC51580,SEC467,SEC001,SEC51580
4,Financial Management,Accounts Payable,General Operations,Intrastat Entry / Update,APMT1017,Intrastat Entry / Update,45,I,E,SEC492,SEC467,SEC001,SEC492
4,Financial Management,Accounts Payable,General Operations,Invoice/Receipt Match,APGO1035,Invoice/Receipt Match,51,I,E,SEC429,SEC467,SEC001,SEC429
4,Financial Management,Accounts Payable,General Operations,Logged Invoice Approve and Void Entry,APGO2551,Logged Invoice Approve and Void Entry,54,I,E,SEC2821,SEC467,SEC001,SEC2821
4,Financial Management,Accounts Payable,General Operations,Logged Invoice Entry,APGO8872,Logged Invoice Entry,53,I,E,SEC2331,SEC467,SEC001,SEC2331
4,Financial Management,Accounts Payable,General Operations,Logged Invoice Tracker,APGO3564,Logged Invoice Tracker,91,I,T,SEC8852,SEC467,SEC001,SEC8852
4,Financial Management,Accounts Payable,General Operations,Netting Transaction Entry,APGO2552,Netting Transaction Entry,65,I,E,SEC231,SEC467,SEC001,SEC231
4,Financial Management,Accounts Payable,General Operations,Payment Batch Maintenance,APGO1021,Payment Batch Maintenance,67,I,E,SEC2371,SEC467,SEC001,SEC2371
4,Financial Management,Accounts Payable,General Operations,Payment Batch Tracker,APGO1068,Payment Batch Tracker,95,I,T,SEC6911,SEC467,SEC001,SEC6911
4,Financial Management,Accounts Payable,General Operations,Payment Entry,APGO1020,Payment Entry,66,I,E,SEC237,SEC467,SEC001,SEC237
4,Financial Management,Accounts Payable,General Operations,Payment Tracker,APGO1067,Payment Tracker,94,I,T,SEC691,SEC467,SEC001,SEC691
4,Financial Management,Accounts Payable,General Operations,Person / Contact Tracker,APGO3080,Person / Contact Tracker,99,I,T,SEC2546,SEC467,SEC001,SEC2546
4,Financial Management,Accounts Payable,General Operations,PI Status Change,APGO3060,PI Status Change,71,I,E,SEC1064,SEC467,SEC001,SEC1064
4,Financial Management,Accounts Payable,General Operations,PI Write Off,APGO3070,PI Write Off,72,I,E,SEC1135,SEC467,SEC001,SEC1135
4,Financial Management,Accounts Payable,General Operations,Positive Pay,APGO1025,Positive Pay,160,I,P,SEC2375,SEC467,SEC001,SEC2375
4,Financial Management,Accounts Payable,General Operations,Purchase Order Tracker,APGO1060,Purchase Order Tracker,100,I,T,SEC080,SEC467,SEC001,SEC080
4,Financial Management,Accounts Payable,General Operations,Recalculate Bank Balances,APMN4030,Recalculate Bank Balances,165,I,P,SEC1076,SEC467,SEC001,SEC1076
4,Financial Management,Accounts Payable,General Operations,Receipt Tracker,APGO1065,Receipt Tracker,110,I,T,SEC506,SEC467,SEC001,SEC506
4,Financial Management,Accounts Payable,General Operations,Supplier Tracker,APGO1080,Supplier Tracker,120,I,T,SEC294,SEC467,SEC001,SEC294
4,Financial Management,Accounts Payable,General Operations,Tax Box Report Summary Adjustment,APGO1042,Tax Box Report Summary Adjustment,75,I,E,SEC785,SEC467,SEC001,SEC785
4,Financial Management,Accounts Payable,General Operations,Use Tax Calculation,APGO1085,Use Tax Calculation,170,I,P,SEC2009,SEC467,SEC001,SEC2009
4,Financial Management,Accounts Payable,General Operations,Void Payment Entry,APGO1040,Void Payment Entry,80,I,E,SEC239,SEC467,SEC001,SEC239
3,Financial Management,Accounts Payable,Reports,,APMN4000,Reports,40,S,,SEC240,SEC467,SEC001,SEC240
4,Financial Management,Accounts Payable,Reports,Advance Payment Balance,APRP4110,Advance Payment Balance,20,I,R,SEC533,SEC467,SEC001,SEC533
4,Financial Management,Accounts Payable,Reports,Aged Payables,APRP4002,Aged Payables,30,I,R,SEC242,SEC467,SEC001,SEC242
4,Financial Management,Accounts Payable,Reports,AP Invoice Balance,APRP4220,AP Invoice Balance,35,I,R,SEC1260,SEC467,SEC001,SEC1260
4,Financial Management,Accounts Payable,Reports,Check Register,APRP4001,Check Register,40,I,R,SEC241,SEC467,SEC001,SEC241
4,Financial Management,Accounts Payable,Reports,Deferred Expense Forecast,APRP4010,Deferred Expense Forecast,46,I,R,SEC2412,SEC467,SEC001,SEC2412
4,Financial Management,Accounts Payable,Reports,Deferred Expense Reconciliation,APRP4020,Deferred Expense Reconciliation,48,I,R,SEC14020,SEC467,SEC001,SEC14020
4,Financial Management,Accounts Payable,Reports,Deferred VAT,APRP6075,Deferred VAT,45,I,R,SEC1212,SEC467,SEC001,SEC1212
4,Financial Management,Accounts Payable,Reports,Discount Analysis,APRP4004,Discount Analysis,50,I,R,SEC970,SEC467,SEC001,SEC970
4,Financial Management,Accounts Payable,Reports,Expense Distribution,APRP4090,Expense Distribution,60,I,R,SEC317,SEC467,SEC001,SEC317
4,Financial Management,Accounts Payable,Reports,G/L Distribution,APRP4003,G/L Distribution,70,I,R,SEC229,SEC467,SEC001,SEC229
4,Financial Management,Accounts Payable,Reports,Intrastat Report,APRP1913,Intrastat Report,71,I,R,SEC1913,SEC467,SEC001,SEC1913
4,Financial Management,Accounts Payable,Reports,Letter of Credit,APRP4230,Letter of Credit,85,I,R,SEC2401,SEC467,SEC001,SEC2401
4,Financial Management,Accounts Payable,Reports,Logged Invoice Suspense Balance,APRP6066,Logged Invoice Suspense Balance,90,I,R,SEC1029,SEC467,SEC001,SEC1029
4,Financial Management,Accounts Payable,Reports,Netting Transaction,APPR6092,Netting Transaction,93,I,R,SEC240,SEC467,SEC001,SEC240
4,Financial Management,Accounts Payable,Reports,Payment Proposal,APRP1000,Payment Proposal,100,I,R,SEC1104,SEC467,SEC001,SEC1104
4,Financial Management,Accounts Payable,Reports,Print 1096 Form US,APRP5601,Print 1096 Form US,480,Q,R,SEC5700,SEC467,SEC001,SEC5700
4,Financial Management,Accounts Payable,Reports,Print 1099 Forms US,APRP4102,Print 1099 Forms US,101,Q,R,SEC1105,SEC467,SEC001,SEC1105
4,Financial Management,Accounts Payable,Reports,Purchase List Report,APRP6076,Purchase List Report,105,I,R,SEC002,SEC467,SEC001,SEC002
4,Financial Management,Accounts Payable,Reports,Received Not Invoiced,APRP4035,Received Not Invoiced,110,I,R,SEC497,SEC467,SEC001,SEC497
4,Financial Management,Accounts Payable,Reports,Supplier Payment,APRP4100,Supplier Payment,111,I,R,SEC441,SEC467,SEC001,SEC441
4,Financial Management,Accounts Payable,Reports,Supplier Statement,APRP4030,Supplier Statement,112,I,R,SEC2021,SEC467,SEC001,SEC2021
4,Financial Management,Accounts Payable,Reports,Tax Id Validation Status,APPR6210,Tax Id Validation Status,118,Q,R,SEC6210,SEC467,SEC001,SEC6210
4,Financial Management,Accounts Payable,Reports,Tax Reconciliation,APRP1416,Tax Reconciliation,135,I,R,SEC1416,SEC467,SEC001,SEC1416
4,Financial Management,Accounts Payable,Reports,Use Tax,APRP4040,Use Tax,130,I,R,SEC2010,SEC467,SEC001,SEC2010
4,Financial Management,Accounts Payable,Reports,VAT Tax,APRP4200,VAT Tax,140,I,R,SEC494,SEC467,SEC001,SEC494
4,Financial Management,Accounts Payable,Reports,Withholding Tax Certificate,APRP4210,Withholding Tax Certificate,160,I,R,SEC2400,SEC467,SEC001,SEC2400
4,Financial Management,Accounts Payable,Reports,Withholding Tax Payment Export,APRP4321,Withholding Tax Payment Export,460,I,R,SEC5133,SEC467,SEC001,SEC5133
4,Financial Management,Accounts Payable,Reports,Withholding Tax Payment Report,APRP4320,Withholding Tax Payment Report,450,I,R,SEC5131,SEC467,SEC001,SEC5131
3,Financial Management,Accounts Payable,Setup,,APMN1000,Setup,10,S,,SEC230,SEC467,SEC001,SEC230
4,Financial Management,Accounts Payable,Setup,1099 Box Number US,APMT7010,1099 Box Number US,16,I,M,SEC3025,SEC467,SEC001,SEC3025
4,Financial Management,Accounts Payable,Setup,1099 Code US,APMT7000,1099 Code US,15,I,M,SEC3020,SEC467,SEC001,SEC3020
4,Financial Management,Accounts Payable,Setup,1099 Form Type Entry US,APMT7030,1099 Form Type Entry US,17,I,M,SEC6000,SEC467,SEC001,SEC6000
4,Financial Management,Accounts Payable,Setup,Aging Report Format,APMT1200,Aging Report Format,20,I,M,SEC657,SEC467,SEC001,SEC657
4,Financial Management,Accounts Payable,Setup,Allocation,APMT1920,Allocation,50,I,M,SEC496,SEC467,SEC001,SEC496
4,Financial Management,Accounts Payable,Setup,Amortization Code,APMT1980,Amortization Code,65,I,M,SEC2301,SEC467,SEC001,SEC2301
4,Financial Management,Accounts Payable,Setup,AP Open Invoice Load,APMT1910,AP Open Invoice Load,400,I,M,SEC234,SEC467,SEC001,SEC234
4,Financial Management,Accounts Payable,Setup,Bank Account,APMT1020,Bank Account,100,I,M,SEC233,SEC467,SEC001,SEC233
4,Financial Management,Accounts Payable,Setup,Bank Fee,APMT4012,Bank Fee,103,I,M,SEC1151,SEC467,SEC001,SEC1151
4,Financial Management,Accounts Payable,Setup,Bank Statement Parsing Parameters,APMT1210,Bank Statement Parsing Parameters,104,I,M,SEC11181,SEC467,SEC001,SEC11181
4,Financial Management,Accounts Payable,Setup,Bank Statement Transaction Codes,APMT1211,Bank Statement Transaction Codes,106,I,M,SEC11182,SEC467,SEC001,SEC11182
4,Financial Management,Accounts Payable,Setup,Bank/Branch Code,APMT4020,Bank/Branch Code,70,I,M,SEC1038,SEC467,SEC001,SEC1038
4,Financial Management,Accounts Payable,Setup,Business Category,APMT1212,Business Category,107,I,M,SEC11201,SEC467,SEC001,SEC11201
4,Financial Management,Accounts Payable,Setup,Cents Override,APMT4008,Cents Override,108,I,M,SEC1005,SEC467,SEC001,SEC1005
4,Financial Management,Accounts Payable,Setup,Chart of Accounts,APMT4007,Chart of Accounts,110,I,M,SEC157,SEC467,SEC001,SEC157
4,Financial Management,Accounts Payable,Setup,Country,APMT1930,Country,112,I,M,SEC432,SEC467,SEC001,SEC432
4,Financial Management,Accounts Payable,Setup,Currency Master,APMT1202,Currency Master,113,I,M,SEC383,SEC467,SEC001,SEC383
4,Financial Management,Accounts Payable,Setup,Custom Tax Algorithm,APMT4010,Custom Tax Algorithm,114,I,M,SEC1009,SEC467,SEC001,SEC1009
4,Financial Management,Accounts Payable,Setup,Electronic Interface,APMT1201,Electronic Interface,118,I,M,SEC1101,SEC467,SEC001,SEC1101
4,Financial Management,Accounts Payable,Setup,Fiscal Calendar,APMT1028,Fiscal Calendar,120,I,M,SEC244,SEC467,SEC001,SEC244
4,Financial Management,Accounts Payable,Setup,FOB,APMT1055,FOB,125,I,M,SEC519,SEC467,SEC001,SEC519
4,Financial Management,Accounts Payable,Setup,Global Alert,APMT1100,Global Alert,130,I,M,SEC357,SEC467,SEC001,SEC357
4,Financial Management,Accounts Payable,Setup,Global Table,APMT1940,Global Table,132,I,M,SEC585,SEC467,SEC001,SEC585
4,Financial Management,Accounts Payable,Setup,Legal Number,APMT1400,Legal Number,138,I,M,SEC582,SEC467,SEC001,SEC582
4,Financial Management,Accounts Payable,Setup,Legal Text,APMT1140,Legal Text,139,I,M,SEC1018,SEC467,SEC001,SEC1018
4,Financial Management,Accounts Payable,Setup,Memo Category,APMT1029,Memo Category,140,I,M,SEC323,SEC467,SEC001,SEC323
4,Financial Management,Accounts Payable,Setup,MICR Check Printer,APMT7020,MICR Check Printer,155,I,M,SEC7020,SEC467,SEC001,SEC7020
4,Financial Management,Accounts Payable,Setup,Miscellaneous Charge/Credit,APMT1040,Miscellaneous Charge/Credit,200,I,M,SEC173,SEC467,SEC001,SEC173
4,Financial Management,Accounts Payable,Setup,Part Class,APMT1970,Part Class,403,I,M,SEC114,SEC467,SEC001,SEC114
4,Financial Management,Accounts Payable,Setup,Payment Instrument Status,APMT1061,Payment Instrument Status,405,I,M,SEC1060,SEC467,SEC001,SEC1060
4,Financial Management,Accounts Payable,Setup,Payment Instrument Type,APMT1062,Payment Instrument Type,406,I,M,SEC1061,SEC467,SEC001,SEC1061
4,Financial Management,Accounts Payable,Setup,Payment Message ID Counter,APMT1070,Payment Message ID Counter,407,I,M,SEC2022,SEC467,SEC001,SEC2022
4,Financial Management,Accounts Payable,Setup,Payment Method,APMN1988,Payment Method,410,I,M,SEC1102,SEC467,SEC001,SEC1102
4,Financial Management,Accounts Payable,Setup,Person / Contact,APMT2120,Person / Contact,450,I,M,SEC2545,SEC467,SEC001,SEC2545
4,Financial Management,Accounts Payable,Setup,Product Tax Category,APMT1036,Product Tax Category,500,I,M,SEC211,SEC467,SEC001,SEC211
4,Financial Management,Accounts Payable,Setup,Purchase Type,GLMT1080,Purchase Type,550,I,M,SEC580,SEC467,SEC001,SEC580
4,Financial Management,Accounts Payable,Setup,Purchasing Terms,APMT1030,Purchasing Terms,600,I,M,SEC235,SEC467,SEC001,SEC235
